,updates
639,788536
640,520246
641,716299
642,482731
643,718195
644,747267
645,766831
646,764151
647,663334
648,356532
649,608954
650,404435
651,644885
652,302366
653,574399
654,685134
655,537142
656,474294
657,579532
658,587208
659,397165
660,606028
661,529498
662,656326
663,584906
664,505938
665,601148
666,583489
667,728207
668,691887
669,673302
670,761142
671,479932
672,753113
673,553454
674,467129
675,684584
676,659561
677,683397
678,697466
679,687928
680,274910
681,476276
682,698061
683,687525
684,635163
685,745621
686,337969
687,675225
688,286712
689,711868
690,325167
691,530280
692,801170
693,378663
694,667001
695,516618
696,19319
697,686333
698,747566
699,385581
700,596031
701,956731
702,657995
703,760966
704,627045
705,298546
706,648281
707,580327
708,584088
709,568791
710,412431
711,664863
712,611679
713,653246
714,796450
715,869645
716,296876
717,535825
718,588414
719,143582
720,528308
721,579064
722,559567
723,572293
724,555566
725,715977
726,643345
727,661492
728,674733
729,664247
730,654991
731,705854
732,710665
733,637014
734,607804
735,697255
736,569256
737,449555
738,461774
739,613871
740,630787
741,597274
742,607118
743,480050
744,680508
745,580479
746,296284
747,446036
748,471700
749,850304
750,705366
751,566906
752,662307
753,649219
754,582558
755,726919
756,592921
757,536685
758,691879
759,526062
760,552371
761,357027
762,631911
763,718626
764,578791
765,531417
766,592674
767,699310
768,658490
769,603320
770,367590
771,660284
772,186594
773,617773
774,559230
775,661122
776,402724
777,461815
778,276307
779,638091
780,448952
781,577293
782,539658
783,719914
784,582747
785,323944
786,583307
787,638920
788,688552
789,573564
790,568832
791,482845
792,357855
793,530210
794,591776
795,712111
796,595165
797,646414
798,698930
799,660661
800,706552
801,819371
802,383842
803,437586
804,491925
805,503677
806,749823
807,551689
808,598348
809,606421
810,539877
811,588287
812,775773
813,713115
814,447706
815,66352
816,791649
817,673888
818,646409
819,524551
820,555904
821,338079
822,537686
823,453192
824,421114
825,303910
826,753092
827,608299
828,490937
829,505371
830,609108
831,529275
832,156098
833,647993
834,671091
835,693214
836,593859
837,632378
838,566786
839,603436
840,544893
841,383325
842,504909
843,615816
844,571217
845,593468
846,717922
847,475704
848,419304
849,680363
850,684387
851,508077
852,444013
853,622441
854,597855
855,476262
856,445435
857,617965
858,333725
859,592591
860,581283
861,228234
862,643122
863,678071
864,233575
865,637027
866,588597
867,82164
868,436606
869,662521
870,513115
871,563408
872,677575
873,249802
874,625109
875,643189
876,657264
877,618417
878,491071
879,352997
880,558261
881,492819
882,647871
883,595348
884,501619
885,628887
886,563732
887,333513
888,489535
889,381010
890,252810
891,583441
892,368837
893,776825
894,518069
895,729370
896,450906
897,506114
898,533962
899,716108
900,471078
901,334609
902,498961
903,648029
904,574118
905,615187
906,451034
907,344331
908,860021
909,401643
910,529656
911,551602
912,618719
913,663999
914,578972
915,496523
916,559484
917,167741
918,397788
919,776499
920,453467
921,668807
922,600552
923,573553
924,616038
925,594820
926,561629
927,519146
928,557987
929,497231
930,613834
931,498316
932,691762
933,611166
934,548299
935,677024
936,477750
937,618217
938,583120
939,492836
940,565285
941,450728
942,444292
943,393909
944,743330
945,465053
946,799159
947,527159
948,694188
949,610242
950,642549
951,529628
952,614996
953,604362
954,641563
955,419026
956,840296
957,592838
958,706942
959,635790
960,602623
961,591114
962,608139
963,421174
964,496814
965,596133
966,565906
967,642344
968,659473
969,524229
970,177671
971,367382
