,Pos. wt. changes,Neg. wt. changes
0,15982329,15630571
1,15804272,15765228
2,15833806,15807094
3,15822005,15778395
4,15809952,15841448
5,15765701,15822299
6,15763331,15846769
7,15745366,15858134
8,15754864,15778636
9,15776924,15832276
