,updates
638,825675
639,586406
640,571847
641,353067
642,618762
643,517608
644,597263
645,589033
646,725146
647,490821
648,560562
649,617377
650,738373
651,509554
652,471955
653,501894
654,425976
655,721884
656,578291
657,636794
658,709175
659,559387
660,612664
661,630620
662,633571
663,619713
664,761317
665,275184
666,561679
667,568661
668,489875
669,717208
670,482937
671,496370
672,302455
673,634107
674,392911
675,526673
676,645006
677,500978
678,573797
679,635665
680,495022
681,610050
682,597036
683,664025
684,531705
685,584887
686,575674
687,660420
688,518275
689,518253
690,531798
691,138436
692,267212
693,496065
694,537148
695,165413
696,504537
697,670543
698,676287
699,534661
700,582987
701,644066
702,501542
703,733411
704,444434
705,494326
706,552927
707,669182
708,704425
709,585772
710,632417
711,662979
712,603196
713,383775
714,472659
715,474712
716,393613
717,682798
718,468513
719,339154
720,548252
721,532928
722,535312
723,342875
724,617438
725,421116
726,487356
727,515750
728,600437
729,455461
730,481138
731,546628
732,615251
733,587932
734,551376
735,480663
736,575506
737,551694
738,563265
739,585894
740,583286
741,587126
742,783106
743,604162
744,585626
745,621196
746,392958
747,599595
748,551401
749,679132
750,549811
751,469910
752,633646
753,571479
754,451288
755,500801
756,674935
757,671379
758,473023
759,562537
760,644805
761,402606
762,495635
763,558756
764,592887
765,757962
766,760921
767,563628
768,450937
769,394334
770,656641
771,415078
772,613791
773,430607
774,683160
775,443513
776,456056
777,607874
778,557635
779,672870
780,685282
781,652332
782,496873
783,633256
784,575791
785,504618
786,208263
787,441418
788,553002
789,718647
790,682167
791,585180
792,623997
793,456296
794,605627
795,463011
796,460668
797,207584
798,223658
799,390305
800,534220
801,565823
802,543778
803,490048
804,570344
805,300901
806,599754
807,428503
808,459281
809,671813
810,553692
811,542658
812,502272
813,499242
814,112777
815,657334
816,590578
817,612617
818,565458
819,756968
820,524646
821,667765
822,525307
823,220685
824,517541
825,642094
826,459390
827,461922
828,688342
829,457411
830,655357
831,790495
832,536913
833,616951
834,398740
835,317987
836,774423
837,554795
838,417007
839,460736
840,575633
841,648666
842,137372
843,570298
844,518450
845,663001
846,357003
847,406029
848,682313
849,592152
850,575346
851,611679
852,546853
853,620527
854,243031
855,592913
856,524963
857,251875
858,404556
859,801014
860,209101
861,582293
862,603210
863,509542
864,492860
865,734694
866,255868
867,628997
868,535231
869,533144
870,628587
871,427737
872,604868
873,618647
874,612818
875,545782
876,169086
877,582160
878,495831
879,610411
880,472121
881,462443
882,477547
883,423084
884,430075
885,704986
886,366796
887,539752
888,529561
889,662983
890,582965
891,640937
892,495214
893,505227
894,434714
895,580395
896,490096
897,611601
898,554734
899,338030
900,424615
901,478097
902,260285
903,750786
904,257940
905,453277
906,539810
907,591012
908,651906
909,551187
910,516388
911,423983
912,776660
913,584722
914,178662
915,471758
916,775996
917,297553
918,638665
919,660786
920,288854
921,510100
922,113877
923,705031
924,625807
925,562627
926,291599
927,589038
928,352359
929,470170
930,419715
931,438187
932,506792
933,512226
934,505753
935,651029
936,350143
937,458708
938,468833
939,573819
940,650088
941,482250
942,171060
943,252698
944,536396
945,545965
946,284113
947,380624
948,312679
949,497103
950,407685
951,462282
952,488836
953,299815
954,733766
955,74331
956,37599
957,429861
958,169332
959,517115
960,78197
961,468583
962,561488
